p_1_agree_item_1,p_1_agree_item_2,p_1_agree_item_3,p_1_agree_item_4,p_1_agree_item_5,p_1_agree_item_6,p_1_consc_item_1,p_1_consc_item_2,p_1_consc_item_3,p_1_consc_item_4,p_1_consc_item_5,p_1_consc_item_6,p_1_extr_item_1,p_1_extr_item_2,p_1_extr_item_3,p_1_extr_item_4,p_1_extr_item_5,p_1_extr_item_6,p_1_neuro_item_1,p_1_neuro_item_2,p_1_neuro_item_3,p_1_neuro_item_4,p_1_neuro_item_5,p_1_neuro_item_6,p_1_openness_item_1,p_1_openness_item_2,p_1_openness_item_3,p_1_openness_item_4,p_1_openness_item_5,p_1_openness_item_6,p_2_agree_item_1,p_2_agree_item_2,p_2_agree_item_3,p_2_agree_item_4,p_2_agree_item_5,p_2_agree_item_6,p_2_consc_item_1,p_2_consc_item_2,p_2_consc_item_3,p_2_consc_item_4,p_2_consc_item_5,p_2_consc_item_6,p_2_extr_item_1,p_2_extr_item_2,p_2_extr_item_3,p_2_extr_item_4,p_2_extr_item_5,p_2_extr_item_6,p_2_neuro_item_1,p_2_neuro_item_2,p_2_neuro_item_3,p_2_neuro_item_4,p_2_neuro_item_5,p_2_neuro_item_6,p_2_openness_item_1,p_2_openness_item_2,p_2_openness_item_3,p_2_openness_item_4,p_2_openness_item_5,p_2_openness_item_6,p_3_agree_item_1,p_3_agree_item_2,p_3_agree_item_3,p_3_agree_item_4,p_3_agree_item_5,p_3_agree_item_6,p_3_consc_item_1,p_3_consc_item_2,p_3_consc_item_3,p_3_consc_item_4,p_3_consc_item_5,p_3_consc_item_6,p_3_extr_item_1,p_3_extr_item_2,p_3_extr_item_3,p_3_extr_item_4,p_3_extr_item_5,p_3_extr_item_6,p_3_neuro_item_1,p_3_neuro_item_2,p_3_neuro_item_3,p_3_neuro_item_4,p_3_neuro_item_5,p_3_neuro_item_6,p_3_openness_item_1,p_3_openness_item_2,p_3_openness_item_3,p_3_openness_item_4,p_3_openness_item_5,p_3_openness_item_6,source_file,PROLIFIC_PID,extraversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score
3,4,3,4,3,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,2,3,3,3,3,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,results_20.csv,656b46a0554ca892e2d3f1e9,3.5,4.0,4.5,2.25,4.0
3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,results_20.csv,65de07bafcbb376ee0421f4e,3.5,4.25,3.0,2.5,4.25
4,3,3,3,3,3,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,3,3,2,3,3,3,3,4,3,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_20.csv,65e85ad0d2ec2a33602e60ea,3.5,4.0,4.0,2.0,4.0
4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,results_20.csv,6646e456d8f747b7fb0a76b3,4.0,4.0,4.0,3.5,4.75
3,4,2,4,3,3,4,4,3,4,3,3,2,3,2,3,3,2,4,4,3,4,3,4,3,3,2,3,3,3,4,4,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,3,2,2,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,4,3,3,results_20.csv,664e46d7a85eca66b546f596,2.5,4.75,3.75,3.0,3.5
4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_20.csv,665acb8be8d04df6693caf4a,3.5,3.25,2.75,2.75,2.25
3,3,3,3,3,3,4,4,3,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,3,3,2,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,2,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,results_20.csv,668c3efacb7c89ec72504e88,3.25,3.25,4.0,2.0,3.25
4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,3,3,4,3,4,4,3,4,4,4,3,4,3,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,4,4,3,4,4,4,results_20.csv,66a8e4f1997807db5221e94f,4.25,4.0,2.5,3.75,3.75
4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_20.csv,66af72617c33867b3ed6ebdf,2.75,3.0,4.25,2.5,3.5
4,4,4,4,4,4,5,4,4,4,4,4,3,4,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,2,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,results_18.csv,5490c822fdf99b71ba910e1a,1.0,3.5,1.75,3.25,3.0
4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,4,4,4,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,results_18.csv,58ab2db50da7f10001de8e34,2.0,4.25,1.75,4.75,4.75
4,4,3,4,4,4,5,4,4,4,4,4,2,4,3,4,3,3,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,5e6a9510e644f7045cb0b536,4.0,4.0,3.75,2.5,3.5
4,4,4,4,4,4,4,4,3,3,4,4,3,4,2,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,5,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,5edb487096035b7c2ab90276,2.0,2.25,2.5,1.5,4.75
4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,results_18.csv,60c81a556366e2bc7502066f,3.25,3.5,1.75,2.0,4.75
4,4,4,4,4,4,5,4,4,5,4,4,2,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,results_18.csv,60fb4917318c63922d387555,1.0,3.5,3.75,3.5,3.5
4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,60fdd0b4f6dd3ba555f0f9db,4.25,4.75,3.5,3.5,1.75
4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,63d4383288ccc0d875a381e4,4.75,4.75,3.75,3.25,5.0
4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,results_18.csv,63ea4f9fe0e6a3c7a08e3ffc,1.0,3.5,5.0,2.25,4.5
4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,6596bd0080a6c5fb83b93520,2.25,3.5,4.25,1.75,3.75
4,4,3,4,4,4,4,4,4,5,4,4,3,4,2,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,2,4,4,4,4,4,4,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,5,4,results_18.csv,65caa7c0f1403c9b8141857c,5.0,4.75,4.5,1.0,4.5
4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,3,3,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,65fdc4612c3c11b5aa2491b8,1.75,4.5,4.75,2.5,4.25
4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3,4,5,4,4,4,4,4,4,3,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,results_18.csv,662ac5849e0f931cc08e32b7,3.0,2.75,4.75,1.0,4.5
3,4,4,4,4,4,4,4,4,5,4,4,3,3,2,3,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,2,3,5,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,results_18.csv,665f00998cd3efe0c163e589,2.5,3.25,2.75,3.75,3.25
4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,results_18.csv,6680452004dea60c1f984bba,2.0,4.25,3.75,3.0,4.5
4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,results_18.csv,668331f861a6ee98717d3f1c,3.25,4.75,3.5,2.75,4.25
4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,2,4,3,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,668f9ed9bb21f5816f200832,3.5,4.5,5.0,1.5,5.0
4,4,3,4,4,4,4,4,4,5,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,2,4,4,4,3,4,4,4,3,4,3,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,results_18.csv,66a28f855a209341d4cc3fa4,2.0,3.5,3.0,4.75,4.75
4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,results_18.csv,66b65a98fd042ac5bf7e0194,4.0,4.5,5.0,1.5,4.75
3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,2,3,3,2,3,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,4,3,4,3,3,results_19.csv,5bc9206a66d04800015cf314,1.25,4.0,3.75,3.25,4.5
3,4,3,3,3,3,4,4,3,4,4,4,3,3,2,3,3,3,4,4,3,4,4,4,3,4,2,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,results_19.csv,5c1d9f0415a94b00018d7907,4.75,5.0,3.0,3.0,4.5
4,4,4,4,4,4,4,4,3,4,4,3,3,3,2,3,3,3,4,4,3,4,4,4,3,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,2,4,4,4,4,4,4,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,3,results_19.csv,5d4611bb3c5a360001b1bb59,1.0,4.0,2.25,3.75,4.75
4,5,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,2,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,4,3,3,results_19.csv,5d6c5cca8cb0f70001b1fac5,1.75,4.5,4.25,3.0,3.5
4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,4,4,3,4,5,4,4,4,5,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,4,3,4,3,3,results_19.csv,60fc8001661feddb796ef7a0,1.0,3.25,4.5,2.25,4.0
4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,results_19.csv,6117efedb574017076d5b499,3.25,3.75,4.25,1.75,4.75
4,4,3,4,4,4,4,4,3,4,4,4,3,3,2,3,2,3,4,4,3,4,4,4,3,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,4,4,4,4,4,4,3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,results_19.csv,6163d3ea0d13c617bb46c99b,1.75,2.75,4.25,2.75,5.0
4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,3,3,3,results_19.csv,6290c65ed46e5dce4f16bb92,1.25,2.25,4.0,2.25,3.75
4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,3,3,3,4,4,3,4,4,4,3,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,3,3,results_19.csv,63c3068bd61c16717eeea2e5,4.0,4.0,4.75,1.5,5.0
4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,5,4,4,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,3,3,3,results_19.csv,655422059823ecd3d751e6ba,4.0,2.5,3.25,2.25,4.0
4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,3,3,3,4,4,3,4,4,4,3,4,2,4,2,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,3,4,3,3,results_19.csv,65878d4de4ec34e24bedb823,1.0,3.75,2.25,3.5,4.0
4,4,3,4,4,4,4,4,3,4,3,4,3,3,2,3,3,3,4,4,3,4,4,4,3,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,results_19.csv,6596be88a11683cdae324f1b,4.0,4.0,3.25,4.25,4.0
4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,5,5,5,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,4,3,3,results_19.csv,66045766d7ff23576a9de1ca,3.5,4.75,2.75,2.25,4.5
4,4,4,4,4,4,5,4,3,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,3,4,3,3,3,3,results_19.csv,660c9fe7b2e6bf22bcc608b1,3.75,3.5,3.25,1.75,5.0
3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,3,2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,results_19.csv,662aa4644d318829d42496b7,1.25,4.5,3.25,3.0,3.5
